#Mini MPD Rad MJ_2M MH_2M MK_2M MZ087 MW146 MF213 MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.618  0.618  0.615  5.594  4.927  4.785  6.34  5.439  4.796  5.435  0.667  0.809  0.142  5.205  4.721  4.636  0.189  0.118  0.092  5.707  5.064  4.899  5.025  4.661  4.58  0.488  0.573  0.085  0.079  0.102  0.027  0.643  0.808  0.165  0.359  0.44  0.081  25.0
0.65  0.65  0.64  5.358  4.709  4.595  6.062  5.209  4.602  5.203  0.649  0.763  0.114  4.886  4.525  4.452  0.293  0.155  0.123  5.599  4.917  4.756  4.751  4.418  4.352  0.371  0.443  0.073  0.142  0.173  0.032  0.682  0.843  0.16  0.333  0.399  0.066  155.0
0.7  0.7  0.679  5.013  4.448  4.358  5.636  4.897  4.363  4.88  0.565  0.655  0.09  4.532  4.209  4.155  0.302  0.17  0.146  5.256  4.597  4.475  4.331  4.029  3.985  0.325  0.38  0.056  0.134  0.159  0.025  0.659  0.781  0.122  0.302  0.346  0.044  163.0
0.713  0.713  0.69  4.929  4.389  4.302  5.53  4.822  4.307  4.802  0.54  0.627  0.087  4.498  4.159  4.105  0.186  0.118  0.105  4.92  4.389  4.304  4.218  3.924  3.884  0.347  0.406  0.059  0.073  0.087  0.014  0.531  0.616  0.085  0.294  0.334  0.04  37.0
0.729  0.729  0.705  4.818  4.307  4.225  5.395  4.722  4.229  4.699  0.511  0.593  0.082  4.406  4.081  4.026  0.246  0.165  0.15  4.902  4.35  4.261  4.082  3.799  3.763  0.326  0.378  0.052  0.085  0.101  0.016  0.552  0.641  0.09  0.283  0.319  0.036  16.0
0.745  0.745  0.72  4.716  4.23  4.153  5.268  4.628  4.157  4.603  0.486  0.563  0.077  4.276  3.968  3.918  0.245  0.169  0.154  4.802  4.28  4.194  3.961  3.686  3.653  0.318  0.368  0.05  0.08  0.095  0.016  0.523  0.608  0.085  0.275  0.308  0.033  19.0
0.75  0.75  0.725  4.683  4.206  4.13  5.229  4.599  4.134  4.572  0.477  0.553  0.076  4.16  3.872  3.834  0.339  0.234  0.213  4.924  4.354  4.258  3.841  3.574  3.544  0.291  0.332  0.041  0.108  0.13  0.022  0.57  0.666  0.096  0.267  0.297  0.03  165.0
0.756  0.755  0.731  4.647  4.178  4.103  5.186  4.566  4.107  4.538  0.469  0.544  0.075  4.097  3.811  3.778  0.303  0.213  0.195  4.768  4.254  4.17  3.872  3.597  3.563  0.283  0.32  0.037  0.093  0.113  0.02  0.514  0.598  0.084  0.273  0.306  0.033  20.0
0.776  0.775  0.756  4.516  4.074  4.003  5.029  4.443  4.007  4.414  0.442  0.513  0.071  4.005  3.718  3.679  0.283  0.222  0.207  4.554  4.091  4.016  3.675  3.425  3.399  0.296  0.338  0.042  0.066  0.081  0.015  0.463  0.538  0.074  0.25  0.276  0.026  25.0
0.795  0.794  0.78  4.393  3.976  3.909  4.884  4.329  3.912  4.297  0.417  0.484  0.067  3.846  3.578  3.546  0.298  0.246  0.234  4.307  3.92  3.859  3.275  3.049  3.026  0.275  0.31  0.035  0.058  0.072  0.014  0.391  0.455  0.063  0.226  0.249  0.023  27.0
0.799  0.798  0.785  4.368  3.955  3.889  4.854  4.305  3.892  4.273  0.413  0.479  0.066  3.878  3.597  3.561  0.41  0.332  0.314  4.52  4.064  3.99  3.191  2.963  2.939  0.281  0.318  0.038  0.083  0.103  0.02  0.456  0.531  0.075  0.228  0.252  0.023  22.0
0.811  0.811  0.803  4.285  3.887  3.823  4.758  4.227  3.826  4.193  0.398  0.462  0.064  3.815  3.545  3.511  0.423  0.362  0.348  4.284  3.902  3.84  2.983  2.772  2.75  0.27  0.304  0.034  0.067  0.083  0.016  0.383  0.444  0.062  0.211  0.233  0.022  31.0
0.827  0.826  0.827  4.184  3.802  3.74  4.64  4.13  3.743  4.096  0.382  0.444  0.062  3.347  3.107  3.084  0.505  0.453  0.442  4.171  3.79  3.729  2.449  2.227  2.203  0.234  0.257  0.025  0.062  0.077  0.014  0.38  0.442  0.061  0.2  0.222  0.021  33.0
0.841  0.84  0.851  4.088  3.721  3.662  4.531  4.039  3.665  4.004  0.367  0.426  0.059  2.507  2.282  2.258  1.315  1.372  1.387  3.971  3.633  3.581  -0.675  -1.106  -1.182  0.273  0.307  0.034  0.077  0.097  0.02  0.42  0.495  0.075  0.191  0.212  0.021  57.0
0.847  0.846  0.862  4.048  3.686  3.629  4.485  4.0  3.632  3.965  0.362  0.419  0.057  1.428  1.06  0.996  2.209  2.275  2.289  3.775  3.494  3.455  -5.032  -5.695  -5.801  0.28  0.319  0.039  0.098  0.119  0.021  0.484  0.57  0.086  0.186  0.206  0.02  141.0
0.856  0.855  0.878  3.991  3.637  3.581  4.421  3.946  3.584  3.91  0.354  0.41  0.056  -1.868  -2.323  -2.398  2.484  2.61  2.633  3.088  2.879  2.858  -5.298  -5.968  -6.076  0.479  0.562  0.082  0.14  0.165  0.025  0.66  0.764  0.105  0.179  0.2  0.02  259.0
0.871  0.87  0.909  3.887  3.545  3.492  4.305  3.846  3.495  3.809  0.342  0.395  0.053  -0.835  -1.217  -1.276  2.28  2.391  2.411  3.194  2.959  2.933  -5.087  -5.797  -5.915  0.387  0.45  0.065  0.133  0.157  0.025  0.622  0.718  0.096  0.167  0.187  0.02  220.0
0.885  0.883  0.939  3.789  3.458  3.407  4.196  3.75  3.409  3.714  0.331  0.382  0.051  -0.931  -1.324  -1.384  2.146  2.251  2.27  2.83  2.628  2.608  -5.208  -5.868  -5.973  0.412  0.48  0.07  0.117  0.138  0.021  0.633  0.732  0.1  0.157  0.177  0.02  330.0
0.896  0.895  0.967  3.707  3.384  3.335  4.106  3.671  3.337  3.634  0.323  0.372  0.049  -0.877  -1.24  -1.296  1.794  1.872  1.887  3.156  2.878  2.842  -3.84  -4.427  -4.536  0.398  0.463  0.063  0.103  0.122  0.019  0.561  0.647  0.089  0.147  0.167  0.02  288.0
0.903  0.902  0.986  3.655  3.337  3.288  4.051  3.621  3.291  3.583  0.318  0.367  0.049  -1.469  -1.918  -2.003  2.069  2.2  2.228  2.381  2.151  2.127  -5.319  -6.215  -6.44  0.451  0.527  0.074  0.152  0.185  0.035  0.763  0.912  0.149  0.161  0.182  0.021  385.0
