#Mini MPD Rad MV_j MI_c MJ_2M MH_2M MK_2M MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.85  0.85  0.752  6.071  5.128  4.502  4.102  4.012  4.41  0.4  0.49  0.09  4.128  3.867  3.837  0.199  0.114  0.094  4.626  4.147  4.065  4.06  3.811  3.784  0.261  0.291  0.03  0.086  0.107  0.021  0.479  0.561  0.082  0.247  0.272  0.025  145.0
0.9  0.899  0.796  5.707  4.843  4.273  3.919  3.835  4.192  0.354  0.438  0.084  3.904  3.67  3.645  0.197  0.121  0.102  4.396  3.968  3.894  3.834  3.611  3.588  0.237  0.261  0.024  0.077  0.097  0.02  0.428  0.503  0.074  0.215  0.235  0.02  146.0
0.95  0.95  0.844  5.375  4.582  4.059  3.742  3.665  3.987  0.317  0.394  0.077  3.696  3.492  3.472  0.194  0.123  0.105  4.176  3.79  3.723  3.623  3.422  3.4  0.21  0.232  0.021  0.073  0.091  0.018  0.386  0.453  0.067  0.181  0.199  0.017  145.0
1.0  1.0  0.897  5.069  4.335  3.852  3.564  3.495  3.787  0.288  0.357  0.069  3.505  3.334  3.317  0.182  0.115  0.1  3.958  3.61  3.55  3.428  3.248  3.229  0.177  0.195  0.019  0.071  0.086  0.016  0.349  0.409  0.06  0.145  0.161  0.016  151.0
1.05  1.05  0.954  4.784  4.103  3.654  3.393  3.329  3.595  0.261  0.325  0.064  3.338  3.194  3.176  0.167  0.105  0.093  3.758  3.439  3.387  3.244  3.087  3.068  0.154  0.172  0.018  0.07  0.083  0.013  0.319  0.371  0.052  0.105  0.12  0.015  170.0
1.088  1.087  1.001  4.582  3.936  3.51  3.265  3.206  3.455  0.245  0.304  0.059  3.207  3.091  3.075  0.127  0.066  0.058  3.452  3.221  3.187  3.151  3.058  3.042  0.114  0.13  0.016  0.068  0.077  0.009  0.241  0.276  0.035  0.081  0.096  0.015  5.0
1.1  1.099  1.017  4.517  3.882  3.462  3.223  3.165  3.408  0.239  0.297  0.058  3.202  3.078  3.06  0.141  0.089  0.082  3.556  3.263  3.217  3.082  2.937  2.918  0.138  0.155  0.017  0.073  0.083  0.01  0.293  0.339  0.046  0.064  0.079  0.014  184.0
1.15  1.149  1.082  4.265  3.67  3.276  3.057  3.003  3.227  0.219  0.273  0.054  3.071  2.993  2.974  0.112  0.074  0.072  3.344  3.095  3.069  2.935  2.823  2.8  0.081  0.098  0.016  0.08  0.087  0.008  0.267  0.308  0.04  0.029  0.045  0.014  159.0
1.2  1.199  1.151  4.025  3.467  3.096  2.897  2.846  3.052  0.199  0.25  0.051  2.966  2.904  2.879  0.104  0.083  0.083  3.19  3.01  2.995  2.808  2.67  2.648  0.051  0.066  0.016  0.088  0.095  0.008  0.247  0.284  0.037  0.005  0.021  0.015  164.0
1.25  1.25  1.22  3.798  3.275  2.927  2.744  2.697  2.886  0.183  0.23  0.047  2.864  2.8  2.781  0.09  0.1  0.103  3.019  2.946  2.932  2.678  2.535  2.514  0.024  0.04  0.016  0.089  0.095  0.006  0.227  0.26  0.033  -0.011  0.003  0.014  164.0
1.28  1.28  1.262  3.667  3.164  2.828  2.657  2.611  2.79  0.171  0.217  0.046  2.782  2.688  2.671  0.074  0.085  0.088  2.833  2.837  2.822  2.64  2.618  2.601  0.018  0.034  0.017  0.069  0.073  0.004  0.16  0.184  0.024  -0.011  0.003  0.014  6.0
1.3  1.3  1.289  3.583  3.092  2.765  2.6  2.555  2.728  0.165  0.21  0.045  2.765  2.71  2.694  0.085  0.119  0.123  2.889  2.885  2.871  2.54  2.425  2.405  0.003  0.019  0.016  0.087  0.093  0.006  0.209  0.239  0.03  -0.024  -0.013  0.011  165.0
1.35  1.35  1.354  3.377  2.919  2.614  2.467  2.424  2.581  0.147  0.19  0.043  2.655  2.626  2.611  0.094  0.137  0.141  2.799  2.824  2.813  2.419  2.334  2.315  -0.011  0.003  0.014  0.082  0.088  0.006  0.192  0.22  0.028  -0.033  -0.025  0.008  169.0
1.4  1.4  1.414  3.182  2.76  2.477  2.348  2.305  2.448  0.129  0.172  0.043  2.547  2.545  2.536  0.105  0.153  0.159  2.729  2.761  2.754  2.305  2.232  2.208  -0.024  -0.012  0.011  0.079  0.086  0.007  0.175  0.201  0.027  -0.04  -0.036  0.004  170.0
1.45  1.45  1.463  2.996  2.613  2.354  2.245  2.204  2.33  0.109  0.15  0.041  2.449  2.462  2.453  0.124  0.17  0.176  2.664  2.701  2.696  2.186  2.115  2.092  -0.032  -0.023  0.009  0.073  0.081  0.008  0.158  0.183  0.025  -0.046  -0.046  0.0  169.0
